stressScores,stepCount,recoveryLabel,nn_interval,hf_lf,hfnu,lfnu,hf,lf,processedHr,RMSSD,SDNN,win_RR,commonTime,sleepTime,sleepQuality,activityLevel
3,0,0,625.2044775705433,0.5831316565293321,0.36834059512632,0.631659404873679,212.82981668092552,364.97729851889784,96.93672424990837,12.725844058213351,62.50688324944979,625.2044775705433,2020-12-28T02:41:19Z,2020-12-28T02:41:19Z,0,3
1,0,0,632.2321843966268,1.6680912459093422,0.62520022449263,0.37479977550736904,241.6216216677832,144.84916353365648,95.45425807618946,6.724086691912243,48.52276210236564,632.2321843966268,2020-12-28T02:42:19Z,2020-12-28T02:41:49Z,0,3
1,0,0,618.9019890920035,1.325293026659816,0.569946674017056,0.43005332598294305,168.8615700163502,127.4145163518577,97.42547146436776,5.531836400266577,43.73916304608278,618.9019890920035,2020-12-28T02:43:19Z,2020-12-28T02:42:19Z,0,3
2,0,0,632.8002244372856,0.848302195823687,0.45896293243629704,0.5410370675637021,265.85997423792213,313.40243553156944,95.2508643750915,6.7358362847430335,43.075412001616556,632.8002244372856,2020-12-28T02:44:19Z,2020-12-28T02:42:49Z,0,3
1,0,0,624.4507444737864,1.425807438812885,0.5877661252084501,0.41223387479154905,814.2022174453864,571.0464087094987,96.6871724389861,7.019495580254035,48.76401431225797,624.4507444737864,2020-12-28T02:45:19Z,2020-12-28T02:43:19Z,0,3
0,0,0,628.6679806611743,2.009617060546695,0.667731814419489,0.33226818558051,1047.0551124073836,521.0222051571076,96.11515291189839,7.672316644794182,52.394230763796045,628.6679806611743,2020-12-28T02:46:19Z,2020-12-28T02:43:49Z,0,3
2,0,0,622.026107133985,1.011214445304702,0.5027879785099201,0.49721202149007904,715.147359042842,707.216320300242,97.50298717180141,8.292067814380177,62.76923273880415,622.026107133985,2020-12-28T02:47:19Z,2020-12-28T02:44:19Z,0,3
3,0,0,607.1594421892227,0.7179964319160621,0.41792661415209603,0.582073385847903,564.5717425240864,786.3155266906502,100.2836796657895,8.404369246055927,72.2306415056543,607.1594421892227,2020-12-28T02:48:19Z,2020-12-28T02:44:49Z,1,3
3,2,0,581.926552943874,0.7771848950484,0.43731234561682103,0.562687654383178,684.8536856746651,881.1978848765639,104.77148575088644,8.989820139185783,74.32000400073667,581.926552943874,2020-12-28T02:49:19Z,2020-12-28T02:45:19Z,0,1
2,1,0,570.7871849609962,0.899039897042272,0.47341811956795304,0.526581880432046,772.4895942407552,859.2383906233172,106.82583985900882,8.70122952244315,74.39028524770869,570.7871849609962,2020-12-28T02:50:19Z,2020-12-28T02:45:49Z,0,1
3,0,0,559.9408982724495,0.5963611535855391,0.37357533553486305,0.626424664465136,687.9141858965112,1153.5194433113584,108.39278952640107,8.576165231266879,61.086401471223475,559.9408982724495,2020-12-28T02:51:19Z,2020-12-28T02:46:19Z,0,3
3,7,0,568.1891681919356,0.406043500381968,0.288784451029902,0.7112155489700981,572.5538801019107,1410.08015043537,106.83386642891271,8.894622356777147,62.10339479014105,568.1891681919356,2020-12-28T02:52:19Z,2020-12-28T02:46:49Z,0,1
3,5,0,582.1668044112636,0.48415645879698505,0.32621658985295104,0.673783410147048,497.04064196062217,1026.6116106261402,104.14342085775978,8.715053973505427,58.96360447834744,582.1668044112636,2020-12-28T02:53:19Z,2020-12-28T02:47:19Z,0,1
2,0,0,593.4764244707768,1.15704604484089,0.536403034885718,0.46359696511428106,621.083907328485,536.7840891879914,101.8115823105151,7.437784654481914,49.13180972397691,593.4764244707768,2020-12-28T02:54:19Z,2020-12-28T02:47:49Z,0,3
0,0,0,603.5162171336239,2.399661188128384,0.7058530410347941,0.29414695896520504,591.8442375123428,246.6365837145334,99.81716615778741,7.300040847268078,38.78471502316395,603.5162171336239,2020-12-28T02:55:19Z,2020-12-28T02:48:19Z,0,3
0,0,0,592.3206655537036,3.473606401539821,0.7764667004107021,0.22353329958929702,662.4422236770722,190.7073361516771,101.66691903105828,6.66150327809678,36.51317105215173,592.3206655537036,2020-12-28T02:56:19Z,2020-12-28T02:48:49Z,0,3
1,0,0,574.0514967896389,1.708397328489888,0.63077795510987,0.36922204489012905,522.2248478000432,305.68114284143485,105.12346627665946,5.461496196311923,42.527103715027536,574.0514967896389,2020-12-28T02:57:19Z,2020-12-28T02:49:19Z,0,3
3,0,0,549.171689910514,0.7013223103224161,0.412221897089863,0.587778102910136,201.8769616727146,287.85190304284833,110.50188128339059,5.4389492400216835,56.58562165664409,549.171689910514,2020-12-28T02:58:19Z,2020-12-28T02:49:49Z,0,3
3,5,0,535.854410681958,0.270120394438086,0.21267306282219803,0.7873269371778011,149.67439622182746,554.1025383632547,113.22630083480146,5.602089452125254,55.62305178377777,535.854410681958,2020-12-28T02:59:19Z,2020-12-28T02:50:19Z,0,1
3,0,0,528.8782738069278,0.209407130480556,0.173148582642595,0.8268514173574041,266.06458446731324,1270.5612452486068,114.55605822848011,6.145516414626147,51.42588045557694,528.8782738069278,2020-12-28T03:00:19Z,2020-12-28T02:50:49Z,0,3
3,6,0,518.5378928607417,0.29682195629144104,0.22888412310682302,0.7711158768931771,369.17930283966797,1243.7735653126042,116.73803235021492,6.2947044513001185,49.05175097796955,518.5378928607417,2020-12-28T03:01:19Z,2020-12-28T02:51:19Z,0,1
3,1,0,519.8196933260496,0.456261831852431,0.313310300299531,0.686689699700468,374.018135193003,819.7445174725277,116.45844320849282,6.745475404920925,49.521476521376194,519.8196933260496,2020-12-28T03:02:19Z,2020-12-28T02:51:49Z,0,1
3,1,0,531.6908742813384,0.30867862346339203,0.235870455839249,0.7641295441607501,286.4582270311139,928.0144631236069,113.72288637597454,7.044087910685633,48.88205652265907,531.6908742813384,2020-12-28T03:03:19Z,2020-12-28T02:52:19Z,0,0
3,4,0,533.0254992331498,0.223010174381696,0.18234531408901902,0.8176546859109801,412.87810899332123,1851.3868711956306,113.47930561958687,7.057760324515722,51.46553694489145,533.0254992331498,2020-12-28T03:04:19Z,2020-12-28T02:52:49Z,0,1
3,1,0,521.2228796110387,0.19805242174023102,0.165311983137224,0.834688016862775,527.3997740228725,2662.9301948885877,116.07841734792213,6.751462237493209,51.59900760229133,521.2228796110387,2020-12-28T03:05:19Z,2020-12-28T02:53:19Z,0,1
