stressScores,stepCount,recoveryLabel,nn_interval,hf_lf,hfnu,lfnu,hf,lf,processedHr,RMSSD,SDNN,win_RR,commonTime,sleepTime,sleepQuality,activityLevel
1,6,1,544.2689660069153,1.735743587035553,0.6344686670421481,0.365531332957851,1060.4560387732406,610.9520131279154,113.96056446543875,21.299214017147737,96.70186602480666,544.2689660069153,2021-01-13T02:20:18Z,2021-01-13T02:20:18Z,0,1
0,8,1,527.789621862559,2.677271114552893,0.728059213245802,0.27194078675419703,1726.2151339456948,644.7666523433037,116.47621102390612,20.1030613377108,76.7044836590379,527.789621862559,2021-01-13T02:21:18Z,2021-01-13T02:20:48Z,0,1
4,12,0,491.505544649959,1.9962687940735,0.666251571962448,0.333748428037551,1035.2762642709176,518.6056443623394,125.55599621918383,20.439908200734653,78.9257959992318,-10.0,2021-01-13T02:22:18Z,2021-01-13T02:21:18Z,0,1
3,0,0,458.9904982948211,0.79796234824175,0.443814826835549,0.55618517316445,278.7978472302616,349.38722089403285,135.02692275618776,27.496539590680783,84.5674654356081,458.9904982948211,2021-01-13T02:23:18Z,2021-01-13T02:21:48Z,0,3
4,23,0,445.3667065261807,1.019173036863938,0.504747744872256,0.495252255127743,306.7493577327999,300.9786823606399,139.69161514833286,25.618625044974202,88.56905444413653,-10.0,2021-01-13T02:24:18Z,2021-01-13T02:22:18Z,0,1
4,22,0,427.40131653812483,2.733499978013467,0.7321548129398721,0.267845187060127,668.0161226417879,244.38124310037836,145.71428712538793,23.462626109045917,89.71935646417481,-10.0,2021-01-13T02:25:18Z,2021-01-13T02:22:48Z,4,1
4,95,0,375.27799196302004,3.014966093946504,0.7509318941677401,0.24906810583225902,228.75752828237603,75.8739969718661,161.7590280541853,23.52098042396263,49.04610175321777,-10.0,2021-01-13T02:26:18Z,2021-01-13T02:23:18Z,4,1
4,97,0,358.7432986283526,0.22385089519585602,0.18290699959820902,0.8170930004017901,7.54462853846752,33.703812226734264,168.32987657414617,23.896078723006188,39.20520401153563,-10.0,2021-01-13T02:27:18Z,2021-01-13T02:23:48Z,4,1
4,15,0,349.2757990728393,0.208603814290303,0.17259900376269802,0.827400996237301,4.594193192258328,22.02353397941621,171.90654269423152,2.758738761184855,9.213604233654555,-10.0,2021-01-13T02:28:18Z,2021-01-13T02:24:18Z,0,1
4,45,0,374.7305909598373,0.143158942825572,0.125231004598295,0.874768995401704,5.694068709978253,39.774453468240736,162.57056039800545,2.799210940943458,50.47984493573789,-10.0,2021-01-13T02:29:18Z,2021-01-13T02:24:48Z,0,0
4,51,0,396.6720083153064,0.186568858443162,0.15723390776322002,0.8427660922367791,29.117399171597782,156.06784226783677,154.27806032340075,3.8677194814050413,57.40318574209397,-10.0,2021-01-13T02:30:18Z,2021-01-13T02:25:18Z,0,1
4,14,0,421.1996672561642,0.351838695545562,0.260266773472977,0.739733226527022,47.036597382436135,133.68795978936046,144.97084849836722,3.886052901404049,54.08273360467332,-10.0,2021-01-13T02:31:18Z,2021-01-13T02:25:48Z,0,1
2,1,0,443.44048296407027,1.952634214541808,0.6613193753987631,0.33868062460123605,88.17641979549768,45.15767425297755,136.77029049077504,3.715305891859183,43.18949986619085,443.44048296407027,2021-01-13T02:32:18Z,2021-01-13T02:26:18Z,0,1
0,0,1,458.35821323897005,3.320844247905571,0.768563747585966,0.231436252414033,78.75859613350435,23.716437825464638,131.5449751265036,3.570603112515254,29.859003307952072,458.35821323897005,2021-01-13T02:33:18Z,2021-01-13T02:26:48Z,0,3
0,0,1,466.1761886701478,2.783509596590183,0.7356951331902971,0.264304866809702,41.88080747923817,15.046043861512972,128.8934319407374,3.482158281925763,17.77982188283591,466.1761886701478,2021-01-13T02:34:18Z,2021-01-13T02:27:18Z,0,3
2,0,0,475.6732828683317,1.68529219364192,0.627601047525575,0.372398952474424,43.9069898424594,26.05304291333379,126.3361597106959,1.796889880711853,18.969608096658053,475.6732828683317,2021-01-13T02:35:18Z,2021-01-13T02:27:48Z,0,3
2,0,0,485.2796716580338,1.236485535963334,0.55286990060087,0.447130099399129,45.98060346981481,37.186527567418544,123.79918250489769,1.81326572994375,17.42392407351486,485.2796716580338,2021-01-13T02:36:18Z,2021-01-13T02:28:18Z,0,3
3,0,0,504.2597778324375,1.011984998511879,0.502978401558844,0.49702159844115507,42.650956198473686,42.14583838811027,121.72490020355663,23.895866323214836,99.40383288865087,504.2597778324375,2021-01-13T02:37:18Z,2021-01-13T02:28:48Z,0,3
