stressScores,stepCount,recoveryLabel,nn_interval,hf_lf,hfnu,lfnu,hf,lf,processedHr,RMSSD,SDNN,win_RR,commonTime,sleepTime,sleepQuality,activityLevel,stress_levels_1,stress_levels_2,new_stress_score
1,6,1,544.2689660069153,1.735743587035553,0.6344686670421481,0.365531332957851,1060.4560387732406,610.9520131279154,113.96056446543876,21.299214017147737,96.70186602480666,544.2689660069153,2021-01-13T02:20:18Z,2021-01-13T02:20:18Z,0,1,2.0,0.0,0.3888888888888889
0,8,1,527.789621862559,2.677271114552893,0.728059213245802,0.271940786754197,1726.2151339456948,644.7666523433037,116.47621102390612,20.1030613377108,76.7044836590379,527.789621862559,2021-01-13T02:21:18Z,2021-01-13T02:20:48Z,0,1,3.0,0.0,0.5833333333333334
3,0,0,458.9904982948211,0.79796234824175,0.443814826835549,0.55618517316445,278.7978472302616,349.38722089403285,135.02692275618776,27.496539590680783,84.5674654356081,458.9904982948211,2021-01-13T02:23:18Z,2021-01-13T02:21:48Z,0,3,3.0,1.0,0.7222222222222222
2,1,0,443.4404829640703,1.952634214541808,0.6613193753987631,0.338680624601236,88.17641979549768,45.15767425297755,136.77029049077504,3.715305891859183,43.18949986619085,443.4404829640703,2021-01-13T02:32:18Z,2021-01-13T02:26:18Z,0,1,3.0,0.0,0.5833333333333334
0,0,1,458.35821323897005,3.320844247905571,0.768563747585966,0.231436252414033,78.75859613350435,23.71643782546464,131.5449751265036,3.570603112515254,29.859003307952072,458.35821323897005,2021-01-13T02:33:18Z,2021-01-13T02:26:48Z,0,3,3.0,0.0,0.5833333333333334
0,0,1,466.1761886701478,2.783509596590183,0.7356951331902971,0.264304866809702,41.88080747923817,15.046043861512972,128.8934319407374,3.482158281925763,17.77982188283591,466.1761886701478,2021-01-13T02:34:18Z,2021-01-13T02:27:18Z,0,3,3.0,0.0,0.5833333333333334
2,0,0,475.6732828683317,1.68529219364192,0.627601047525575,0.372398952474424,43.9069898424594,26.05304291333379,126.3361597106959,1.796889880711853,18.969608096658053,475.6732828683317,2021-01-13T02:35:18Z,2021-01-13T02:27:48Z,0,3,3.0,0.0,0.5833333333333334
2,0,0,485.2796716580338,1.236485535963334,0.55286990060087,0.447130099399129,45.98060346981481,37.186527567418544,123.79918250489769,1.81326572994375,17.42392407351486,485.2796716580338,2021-01-13T02:36:18Z,2021-01-13T02:28:18Z,0,3,3.0,0.0,0.5833333333333334
3,0,0,504.2597778324375,1.011984998511879,0.502978401558844,0.497021598441155,42.650956198473686,42.14583838811027,121.72490020355664,23.89586632321484,99.40383288865088,504.2597778324375,2021-01-13T02:37:18Z,2021-01-13T02:28:48Z,0,3,3.0,0.0,0.5833333333333334
3,0,0,609.492333349341,0.269282060336055,0.212153049941287,0.7878469500587121,211.4191296597081,785.1214796702886,108.39065189603194,23.882264906907636,218.60751237643183,609.492333349341,2021-01-13T02:38:18Z,2021-01-13T02:29:18Z,0,3,2.0,3.0,0.8055555555555555
1,0,2,813.2674709163836,0.168222235504146,0.143998487951695,0.8560015120483041,411.1677661410183,2444.193925427199,83.40940765599866,23.852453623848834,248.00154681345407,813.2674709163836,2021-01-13T02:40:18Z,2021-01-13T02:30:18Z,4,3,1.0,3.0,0.611111111111111
1,0,2,912.9168038190844,0.133779352783889,0.117994169196507,0.882005830803492,27.96741187994236,209.05626539486715,71.48610247904824,23.839730815237075,197.7536647855387,912.9168038190844,2021-01-13T02:41:18Z,2021-01-13T02:30:48Z,4,3,0.0,3.0,0.4166666666666667
0,0,2,958.5751176749814,0.335378918317598,0.251148878956492,0.748851121043507,5.771699878564057,17.209489217501584,67.41946722813685,38.10306339533597,158.31767772199652,958.5751176749814,2021-01-13T02:59:18Z,2021-01-13T02:39:48Z,4,3,0.0,3.0,0.4166666666666667
0,0,2,957.2012637947272,0.219672799926775,0.180107976450703,0.819892023549296,726.917050599227,3309.089932124199,67.5562568775416,39.16465243382124,159.62370799264733,957.2012637947272,2021-01-13T03:00:18Z,2021-01-13T02:40:18Z,4,3,0.0,3.0,0.4166666666666667
1,0,2,863.4983154020741,0.207121952098595,0.171583286790958,0.8284167132090411,2717.351739228944,13119.57381482875,79.41441600633745,43.4124330969706,241.38196249822292,863.4983154020741,2021-01-13T03:01:18Z,2021-01-13T02:40:48Z,0,3,0.0,3.0,0.4166666666666667
1,1,2,757.6292442038746,0.430691162180953,0.301037130560312,0.6989628694396871,4563.836967686841,10596.541950329967,93.14549177714818,43.53604700296672,273.3386104257401,757.6292442038746,2021-01-13T03:02:18Z,2021-01-13T02:41:18Z,1,1,1.0,3.0,0.611111111111111
2,0,0,597.338061525669,0.9244199591139132,0.480362903500313,0.519637096499686,1071.5166672511125,1159.1232498681622,110.52919948425908,21.264106105174637,217.09184507639387,597.338061525669,2021-01-13T03:04:18Z,2021-01-13T02:42:18Z,0,3,2.0,1.0,0.5277777777777778
3,0,0,495.6782173596728,0.507384779823568,0.336599378350466,0.6634006216495331,373.8140311232572,736.7466388196402,123.61535672413753,19.624127970955456,91.98361934069388,495.6782173596728,2021-01-13T03:05:18Z,2021-01-13T02:42:48Z,0,3,3.0,2.0,0.8611111111111112
3,3,0,487.81246086016006,0.442957133688005,0.306978719843094,0.693021280156905,344.5212253953175,777.7755434862894,124.33836838202517,6.896759241323132,53.942830522272885,487.81246086016006,2021-01-13T03:06:18Z,2021-01-13T02:43:18Z,0,1,3.0,3.0,1.0
